Name,Value,Reference
Density [kg m^-3],773.038244930347,Calculated from datasheet
Volume [m^3],8.79646×10-5,Calculated from datasheet
Specific Heat [J K^-1 kg^-1],750,Guo et al.
Heat Transfer Coefficient [J s^-1 K^-1],1,Guo et al.
Surface Area [m^2],0.01131,Calculated from datasheet
Capacity [A hr],5.0,Chen et al.
Maximum Potential Cut-off [V],4.2,Datasheet
Minimum Potential Cut-off [V],2.5,Datasheet
